Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%),65 years and over,Under 18 (%),Under 5 (%),65 years and over (%),School Enrollment (%)
100000,89239,6011,4010.124971138324,3.8,99,42,36.48311429046747,97,62.5,20.8,16.6,434,2690,13.892445582586427,86.10755441741357,296,0.016469805356845783,0.00698719015138912,0.049243054400266176,0.016137082016303445
210100,56250,7363,27289.447614621527,0.0,0,0,59.05201684096157,47,17.800000000000004,39.1,0.0,4,42,8.695652173913043,91.30434782608695,53,0.0,0.0,0.007198152926796143,0.006383267689800353
210400,36217,4422,6313.910910465753,8.0,1257,437,39.23563998190864,760,9.099999999999998,25.0,34.6,648,915,41.45873320537428,58.54126679462573,644,0.28426051560379917,0.09882406151062867,0.1456354590682949,0.1718679330619629
210500,37323,5548,6678.676559,7.3,1580,562,38.518385003604905,1030,4.900000000000002,28.4,22.0,720,1064,40.35874439461883,59.64125560538116,536,0.28478731074260993,0.10129776496034607,0.0966113914924297,0.18565248738284065
210600,57750,5327,5913.060891,2.4,1304,197,22.789562605594146,1070,17.500000000000004,29.6,13.3,1492,611,70.94626723728008,29.053732762719925,552,0.24479068894311995,0.0369814154308241,0.10362305237469495,0.2008635254364558
210700,39047,2459,5629.858649291273,4.2,610,150,43.51362342415616,443,4.999999999999995,31.3,27.0,446,303,59.546061415220294,40.453938584779706,242,0.2480683204554697,0.061000406669377796,0.09841398942659618,0.18015453436356244
210800,32639,2466,1741.5233747330915,10.0,635,236,50.89213300892133,400,4.700000000000003,39.3,40.7,337,510,39.78748524,60.21251476,234,0.2575020275750203,0.09570154095701541,0.0948905109489051,0.16220600162206
210900,33548,1320,2712.600818690053,9.1,270,53,85.53030303030303,202,6.5,37.7,13.3,312,252,55.319148936170215,44.680851063829785,241,0.20454545454545456,0.04015151515151515,0.18257575757575759,0.15303030303030302
211000,36736,1989,4601.901891782869,9.1,554,190,67.32026144,360,2.6999999999999957,32.8,33.7,350,357,49.504950495049506,50.495049504950494,283,0.27853192559074913,0.0955253896430367,0.14228255404725992,0.18099547511312217
211100,26166,5322,5772.220255964042,4.7,1130,173,49.00413378429162,604,2.799999999999997,35.7,39.3,659,1244,34.62953231739359,65.37046768260642,631,0.212326193160466,0.032506576475009395,0.11856444945509208,0.11349116873355881
211200,21143,2211,3363.5524049649184,10.4,334,40,76.61691542288557,226,2.6000000000000085,36.3,37.0,382,630,37.74703557312253,62.25296442687747,445,0.15106286748077793,0.018091361374943465,0.20126639529624604,0.10221619176843058
211300,27014,5319,4996.058838461894,14.3,1362,288,83.07952622673434,1168,3.200000000000003,31.2,32.6,656,1449,31.163895486935868,68.83610451306413,502,0.25606316976875354,0.05414551607445008,0.09437864260199286,0.21959014852415867
